comunidad,pib_per_capita_2024,tasa_paro_2t2026,poblacion_2025,coste_laboral_2024
Madrid,44755,7.58,7125583,3843.65
País Vasco,41016,7.11,2240113,3708.23
Navarra,39076,8.07,683525,3565.42
Cataluña,37426,7.90,8119550,3483.35
Aragón,36446,8.17,1352630,3215.54
Illes Balears,36011,6.11,1244394,3314.09
La Rioja,34475,8.77,327115,3019.88
Castilla y León,31149,8.37,2397889,2981.68
Galicia,30105,7.94,2715424,2947.40
Cantabria,29791,7.34,593386,3030.77
Asturias,29658,9.12,1014112,3267.66
Comunitat Valenciana,27611,10.88,5414296,2930.18
Castilla-La Mancha,26588,11.81,2120261,2887.93
Región de Murcia,26572,10.83,1584801,2936.99
Canarias,25925,11.60,2258219,2705.87
Extremadura,25227,13.22,1052998,2692.17
Andalucía,24566,14.56,8663175,2838.28
