ranking,comunidad,s_riqueza,s_empleo,s_mercado,s_coste,IAR_Equilibrado,IAR_Orientado a mercado,IAR_Orientado a coste
1,Cataluña,63.7,78.8,93.5,31.3,66.8,71.5,61.9
2,Madrid,100.0,82.6,81.6,0.0,66.0,75.9,51.9
3,Illes Balears,56.7,100.0,11.0,46.0,53.4,45.6,45.2
4,Galicia,27.4,78.3,28.7,77.8,53.1,43.1,55.6
5,Castilla y León,32.6,73.3,24.8,74.9,51.4,42.3,53.3
6,País Vasco,81.5,88.2,22.9,11.8,51.1,51.5,37.0
7,Aragón,58.8,75.6,12.3,54.5,50.3,44.4,45.7
8,Comunitat Valenciana,15.1,43.6,61.0,79.3,49.7,45.1,58.8
9,La Rioja,49.1,68.5,0.0,71.5,47.3,38.2,46.3
10,Andalucía,0.0,0.0,100.0,87.3,46.8,48.1,64.9
11,Cantabria,25.9,85.4,3.2,70.6,46.3,33.6,45.9
12,Navarra,71.9,76.8,4.3,24.2,44.3,41.8,33.2
13,Canarias,6.7,35.0,23.2,98.8,40.9,30.5,52.7
14,Región de Murcia,9.9,44.1,15.1,78.7,37.0,27.2,44.1
15,Asturias,25.2,64.4,8.2,50.0,37.0,28.9,35.9
16,Castilla-La Mancha,10.0,32.5,21.5,83.0,36.8,28.4,46.0
17,Extremadura,3.3,15.9,8.7,100.0,32.0,21.6,45.5
